date,export,import_ru,moex,gov_cons,inflation,interest_rate,investment,unemployment,money_supply,oil_price,private_consumption,rub_usd,salary,gdp
2009-03-31,18944.666666666668,11194.333333333334,682.1003571428572,2031698223802.06,11.6473295764118,13.079965285576645,183320.64969530387,8.30000019073486,11895.755573327566,129.47,5741072239496.819,34.317000166666666,18419.0,8334.6
2009-06-30,22584.333333333332,12740.666666666666,991.2077419354838,2108940380953.6697,11.6473295764118,13.079965285576645,203340.6213019395,8.30000019073486,12686.555462268334,129.47,5790779864167.46,31.86616616666667,18673.0,9244.8
2009-09-30,27281.666666666668,14343.0,1071.9360606060607,2124022982244.7,11.6473295764118,13.079965285576645,228997.94593294425,8.30000019073486,13681.197089775365,129.47,5865317576398.82,31.51621733333333,20670.0,10411.3
2009-12-31,31744.666666666668,17504.333333333332,1317.5187692307693,2195401705124.18,11.6473295764118,13.079965285576645,237908.175001114,8.30000019073486,14850.824572319367,129.47,6018160909052.18,29.332316333333335,19485.0,10816.4
2010-03-31,30761.0,13620.333333333334,1396.7233928571427,2198460008172.2102,6.8493923025503,-2.9550837314338856,216163.01647142463,7.36999988555908,16029.685186608966,168.02,6218997310971.47,30.023516666666666,20809.0,9995.8
2010-06-30,32344.0,18002.0,1386.6548387096775,2250035429620.13,6.8493923025503,-2.9550837314338856,237381.84355497593,7.36999988555908,17163.139705810532,168.02,6448628141046.2,30.015916500000003,21031.0,10977.0
2010-09-30,32226.666666666668,21101.333333333332,1384.7504545454544,2273243021608.92,6.8493923025503,-2.9550837314338856,261375.20744531445,7.36999988555908,18329.751779552735,168.02,6697023481288.601,30.482666500000004,23491.0,12086.5
2010-12-31,37024.333333333336,23580.0,1573.4524615384616,2372440650448.56,6.8493923025503,-2.9550837314338856,286521.20431929873,7.36999988555908,19203.57616296963,168.02,6966610240127.24,30.9001665,21354.0,13249.3
2011-03-31,37339.666666666664,20320.333333333332,1745.149642857143,2566870200000.0,8.44046485932559,-12.856935291667487,254883.33443124732,6.53999996185303,19934.130474231202,213.81,7190113101247.13,29.351666499999997,23154.0,11954.2
2011-06-30,44143.666666666664,26403.333333333332,1695.7041935483871,2645153400000.0,8.44046485932559,-12.856935291667487,285206.99291346443,6.53999996185303,20939.205394578767,213.81,7456722552815.64,27.866499833333336,23352.0,13376.4
2011-09-30,42984.0,26969.0,1562.8928787878788,2643036400000.0,8.44046485932559,-12.856935291667487,314129.81862794026,6.53999996185303,22068.786617990863,213.81,7698535242274.06,28.77716666666667,26905.0,14732.9
2011-12-31,47771.666666666664,28227.333333333332,1428.43546875,2740360800000.0,8.44046485932559,-12.856935291667487,339093.2129121336,6.53999996185303,23196.4531585347,213.81,7943071203663.16,30.93471683333333,24407.0,15903.7
2012-03-31,43731.0,22954.666666666668,1538.4617741935485,2960627700000.0,5.0747430079915,0.1764166185927486,327359.1581624412,5.44000005722046,23833.711096077564,222.45,8335894498281.141,30.0325165,26547.0,15182.8
2012-06-30,43285.666666666664,25706.666666666668,1392.1378125,3022558700000.0,5.0747430079915,0.1764166185927486,354379.63508429826,5.44000005722046,24405.280767503664,222.45,8590346365082.911,31.078816833333335,26127.0,16436.0
2012-09-30,41637.666666666664,27321.0,1442.1955384615383,3086438700000.0,5.0747430079915,0.1764166185927486,381973.63952460524,5.44000005722046,25082.008954480698,222.45,8901991856481.771,32.13383283333334,30233.0,17715.8
2012-12-31,46244.666666666664,29743.333333333332,1441.05265625,3166694300000.0,5.0747430079915,0.1764166185927486,404679.7233471457,5.44000005722046,26205.074640909468,222.45,9208883980154.18,31.006533666666666,27339.0,18768.9
2013-03-31,42172.333333333336,23682.666666666668,1502.2972881355931,3325725800000.0,6.75371026220953,3.9370701928995393,359160.8822002118,5.46000003814697,27290.937516206468,222.21,9352773786782.14,30.4363165,30245.0,16370.0
2013-06-30,42703.666666666664,26206.666666666668,1368.4501612903227,3378940200000.0,6.75371026220953,3.9370701928995393,384126.62244795903,5.46000003814697,28467.057846154767,222.21,9614745594936.951,31.559364000000002,29578.0,17507.9
2013-09-30,43821.0,26758.0,1403.6657575757577,3424955300000.0,6.75371026220953,3.9370701928995393,416940.36804469913,5.46000003814697,29122.9332691758,222.21,9820528828593.389,32.923561,33269.0,19003.5
2013-12-31,47058.666666666664,28341.666666666668,1492.3521875,3500732900000.0,6.75371026220953,3.9370701928995393,441092.12730713,5.46000003814697,29766.610600323165,222.21,10015257289687.5,32.56413466666667,30057.0,20104.3
2014-03-31,40896.0,22302.333333333332,1422.4025423728813,3428089000000.0,7.82341183865503,3.397146835395467,370761.4278122232,5.15999984741211,29674.5309473149,205.01,10229767446022.201,35.06633933333334,32963.0,17311.4
2014-06-30,44296.333333333336,25170.0,1402.642131147541,3528523800000.0,7.82341183865503,3.397146835395467,407873.12311780336,5.15999984741211,30287.348190604836,205.01,10475387779345.2,34.98065066666667,31730.0,19044.2
2014-09-30,41988.0,25000.0,1432.2901515151514,3580950400000.0,7.82341183865503,3.397146835395467,439994.6147032772,5.15999984741211,30705.432157129802,205.01,10626799145422.799,36.32300633333333,35685.0,20544.0
2014-12-31,38764.0,23084.333333333332,1456.60796875,3709482800000.0,7.82341183865503,3.397146835395467,473972.976085031,5.15999984741211,30902.009320578636,205.01,11156901229209.9,46.732335166666665,31566.0,22130.5
2015-03-31,30089.0,14010.666666666666,1664.3003389830508,3554074500000.0,15.5344050528404,7.894593574162305,380652.022135727,5.57000017166138,31359.356268594434,117.79,10843389697364.201,62.87617933333333,34703.0,18467.9
2015-06-30,30532.333333333332,14930.666666666666,1666.935737704918,3647428700000.0,15.5344050528404,7.894593574162305,407098.7004046342,5.57000017166138,32119.263784494997,117.79,10863737415265.5,53.451482666666664,32983.0,19751.0
2015-09-30,26431.333333333332,15842.666666666666,1667.159393939394,3711622600000.0,15.5344050528404,7.894593574162305,449096.79224527424,5.57000017166138,32894.5141328714,117.79,10993656270028.2,61.737149666666674,36692.0,21788.6
2015-12-31,27461.666666666668,16122.666666666666,1740.65828125,3847733600000.0,15.5344050528404,7.894593574162305,475710.4240594843,5.57000017166138,34061.950363109296,117.79,11069483117342.102,66.56999950000001,34000.0,23079.8
2016-03-31,20462.666666666668,12009.0,1787.5160655737704,3878496500000.0,7.04244762954798,9.48435447314741,413230.19255724095,5.55999994277954,34984.2706433087,100.0,11205972931461.0,74.06916666666667,37404.0,18885.1
2016-06-30,22831.0,14504.666666666666,1905.314262295082,3931777400000.0,7.04244762954798,9.48435447314741,447520.34906985954,5.55999994277954,36054.03023005897,100.0,11307660887711.4,65.35084233333333,35744.0,20452.2
2016-09-30,23932.666666666668,16748.333333333332,1964.3469696969696,3965673700000.0,7.04244762954798,9.48435447314741,486532.48616790527,5.55999994277954,36813.38947399103,100.0,11441616274949.5,64.8984095,39824.0,22235.1
2016-12-31,28031.0,17520.0,2072.015625,4033826600000.0,7.04244762954798,9.48435447314741,526104.7840768266,5.55999994277954,37819.690322306764,100.0,11633493905878.2,63.273783333333334,35983.0,24043.6
2017-03-31,27884.0,15138.666666666666,2125.9622580645164,4114561399999.9995,3.68332944412231,4.945604230515668,452526.51422206534,5.21000003814697,38660.309913152036,123.57,11824717023439.299,58.935833,40103.0,20586.1
2017-06-30,28264.666666666668,18774.0,1938.4022950819672,4176204100000.0,3.68332944412231,4.945604230515668,481795.73246576765,5.21000003814697,39474.0947272694,123.57,12041987230481.2,57.121399499999995,37723.0,21917.6
2017-09-30,28633.333333333332,20375.666666666668,1981.362,4187605700000.0,3.68332944412231,4.945604230515668,521376.7721725723,5.21000003814697,40392.9062964513,123.57,12251472464708.6,58.7334665,42797.0,23718.2
2017-12-31,34490.0,21545.666666666668,2111.6409375,4252538800000.0005,3.68332944412231,4.945604230515668,563208.782925682,5.21000003814697,41526.2564056192,123.57,12440431981370.8,58.05316616666667,40691.0,25621.2
2018-03-31,34322.723333333335,18245.403333333335,2275.4325000000003,4503307600000.0,2.87829723647886,-1.0284825946313478,464199.2394212689,4.84999990463257,42790.47449878796,156.65,12676847061801.7,56.6632825,44477.0,22474.5
2018-06-30,36731.38333333333,20343.956666666665,2271.66203125,4577218300000.0,2.87829723647886,-1.0284825946313478,515738.3776502792,4.84999990463257,44178.16357564973,156.65,12964770336549.9,61.592716833333334,41830.0,24969.8
2018-09-30,37415.433333333334,20033.816666666666,2327.433692307692,4608630800000.0,2.87829723647886,-1.0284825946313478,561735.9173593346,4.84999990463257,45070.92252738436,156.65,13196455389645.5,64.85425,46850.0,27196.8
2018-12-31,41402.87666666667,20874.63666666667,2379.5712307692306,4705167400000.0,2.87829723647886,-1.0284825946313478,603536.4655691175,4.84999990463257,45778.1952302251,156.65,13472816112002.9,66.41136666666667,43944.0,29220.6
2019-03-31,34921.0,17791.666666666668,2479.6995,4943953500000.0,4.47036660760175,5.3167092312001,514377.334581414,4.5,46289.51036669213,144.22,13713994603557.299,66.17416783333334,48453.0,24608.6
2019-06-30,33988.0,19882.333333333332,2627.753387096774,5010603700000.0,4.47036660760175,5.3167092312001,556600.0622398121,4.5,47566.91356013486,144.22,13874554887008.9,64.67900049999999,45726.0,26628.6
2019-09-30,34758.0,20931.333333333332,2740.1789393939393,5024368300000.0,4.47036660760175,5.3167092312001,592497.7416856205,4.5,49144.84624775257,144.22,14063215391377.3,64.5954165,51684.0,28346.0
2019-12-31,37822.333333333336,22844.333333333332,2895.98890625,5088226800000.0,4.47036660760175,5.3167092312001,627594.8614931534,4.5,50522.477273470635,144.22,14243258918056.6,63.789448833333324,48390.0,30025.1
2020-03-31,30241.333333333332,17835.666666666668,2876.6418333333336,5423665000000.0,3.38165937237896,6.0781161121116805,534254.9684022636,5.59000015258789,52657.8388383636,96.1,14301073757951.602,66.763399,50784.0,24866.0
2020-06-30,23822.333333333332,17471.896666666667,2676.74131147541,5523474600000.0,3.38165937237896,6.0781161121116805,510823.0344949401,5.59000015258789,55021.87303890294,96.1,11255344942065.2,72.74840033333334,49021.0,23775.4
2020-09-30,26595.666666666668,19336.0,2917.4513846153845,5549810900000.0,3.38165937237896,6.0781161121116805,596998.6659903409,5.59000015258789,56684.40317830083,96.1,13330900862389.8,74.12613416666666,56044.0,27786.3
2020-12-31,31709.666666666668,22579.0,3019.6828125,5651653300000.0,3.38165937237896,6.0781161121116805,670998.5438223636,5.59000015258789,57329.33036624963,96.1,14026918137593.4,77.03921783333332,52143.0,31230.5
2021-03-31,31246.0,20798.333333333332,3436.896229508197,5791239700000.0,6.69445891957619,-7.973129249848058,553801.5786740306,4.71999979019165,58731.9842740971,157.46,14788131079071.4,75.12349950000001,57275.0,27939.8
2021-06-30,38520.333333333336,24743.666666666668,3681.05140625,5986520900000.0,6.69445891957619,-7.973129249848058,632002.3305885987,4.71999979019165,59948.86771774873,157.46,15423650125276.5,74.07380033333334,54133.0,31885.1
2021-09-30,44463.0,25028.333333333332,3900.0048484848485,5885201500000.0,6.69445891957619,-7.973129249848058,700849.4377034091,4.71999979019165,61966.0066322253,157.46,16002626410840.6,73.15299983333334,62828.0,35358.5
