"Date","Price","Open","High","Low","Vol.","Change %"
"09/07/2021","4,010.16","4,036.41","4,043.51","4,004.90","","-0.45%"
"09/06/2021","4,028.25","4,004.61","4,028.25","4,001.70","","0.66%"
"09/03/2021","4,001.70","3,976.62","4,001.70","3,964.22","","0.27%"
"09/02/2021","3,990.77","3,983.68","3,994.77","3,968.06","","0.50%"
"09/01/2021","3,971.02","3,924.32","3,972.68","3,918.96","","1.33%"
"08/31/2021","3,918.96","3,934.10","3,938.68","3,904.72","","-0.24%"
"08/30/2021","3,928.50","3,900.96","3,928.50","3,887.38","","1.06%"
"08/27/2021","3,887.38","3,864.11","3,887.38","3,844.49","","0.93%"
"08/26/2021","3,851.57","3,876.99","3,886.64","3,838.63","","-0.90%"
"08/25/2021","3,886.64","3,891.80","3,895.62","3,868.64","","-0.06%"
"08/24/2021","3,888.87","3,897.56","3,904.99","3,864.37","","0.15%"
"08/23/2021","3,883.01","3,861.99","3,884.51","3,832.70","","1.31%"
"08/20/2021","3,832.70","3,868.79","3,871.43","3,826.27","","-0.55%"
"08/19/2021","3,853.98","3,883.20","3,925.17","3,841.15","","-1.81%"
"08/18/2021","3,925.17","3,948.43","3,949.07","3,912.24","","-0.45%"
"08/17/2021","3,943.01","3,893.85","3,944.37","3,893.44","","1.22%"
"08/16/2021","3,895.31","3,862.32","3,896.96","3,855.62","","0.58%"
"08/13/2021","3,873.00","3,882.62","3,895.05","3,866.67","","-0.41%"
"08/12/2021","3,888.86","3,879.01","3,897.92","3,877.23","","0.30%"
"08/11/2021","3,877.37","3,875.23","3,886.78","3,856.61","","0.39%"
"08/10/2021","3,862.32","3,847.12","3,867.09","3,835.11","","0.71%"
"08/09/2021","3,835.11","3,795.48","3,839.72","3,790.63","","0.78%"
"08/06/2021","3,805.36","3,836.49","3,837.35","3,802.44","","-0.74%"
"08/05/2021","3,833.75","3,803.91","3,833.81","3,801.16","","0.61%"
"08/04/2021","3,810.62","3,808.44","3,814.63","3,793.69","","0.45%"
"08/03/2021","3,793.69","3,782.41","3,797.30","3,771.80","","0.15%"
"08/02/2021","3,788.10","3,791.22","3,801.24","3,771.58","","0.44%"
"07/30/2021","3,771.58","3,789.33","3,804.33","3,759.83","","-0.86%"
"07/29/2021","3,804.33","3,794.40","3,806.83","3,782.28","","0.58%"
"07/28/2021","3,782.28","3,747.25","3,782.28","3,733.10","","1.32%"
"07/27/2021","3,733.10","3,756.79","3,762.89","3,733.10","","-0.45%"
"07/26/2021","3,750.10","3,724.20","3,755.52","3,710.14","","0.42%"
"07/23/2021","3,734.54","3,760.33","3,767.40","3,724.74","","-0.53%"
"07/22/2021","3,754.44","3,746.35","3,758.58","3,724.29","","0.85%"
"07/21/2021","3,722.96","3,718.92","3,738.33","3,701.95","","0.50%"
"07/20/2021","3,704.40","3,707.23","3,719.09","3,679.44","","0.30%"
"07/19/2021","3,693.42","3,743.97","3,744.27","3,679.79","","-2.04%"
"07/16/2021","3,770.15","3,795.03","3,812.49","3,756.01","","-0.78%"
"07/15/2021","3,799.97","3,826.45","3,832.50","3,789.31","","-0.86%"
"07/14/2021","3,832.85","3,851.16","3,862.73","3,829.59","","-1.14%"
"07/13/2021","3,877.03","3,888.32","3,891.54","3,852.54","","0.04%"
"07/12/2021","3,875.61","3,864.26","3,882.60","3,848.45","","0.53%"
"07/09/2021","3,855.31","3,865.62","3,874.96","3,850.57","","-0.15%"
"07/08/2021","3,861.08","3,882.15","3,883.47","3,839.40","","-0.87%"
"07/07/2021","3,895.10","3,881.88","3,912.39","3,879.72","","0.28%"
"07/06/2021","3,884.30","3,896.82","3,915.00","3,878.39","","0.04%"
"07/05/2021","3,882.59","3,874.81","3,882.59","3,863.09","","0.44%"
"07/02/2021","3,865.42","3,853.81","3,877.23","3,843.90","","0.18%"
"07/01/2021","3,858.32","3,843.28","3,879.50","3,843.16","","0.43%"
"06/30/2021","3,841.85","3,799.42","3,847.30","3,779.28","","1.35%"
"06/29/2021","3,790.85","3,817.72","3,821.59","3,768.24","","-0.91%"
"06/28/2021","3,825.57","3,833.72","3,852.83","3,822.81","","-0.16%"
"06/25/2021","3,831.84","3,818.97","3,833.32","3,805.70","","0.22%"
"06/24/2021","3,823.44","3,833.73","3,839.64","3,800.50","","-0.36%"
"06/23/2021","3,837.15","3,836.12","3,847.22","3,820.50","","0.40%"
"06/22/2021","3,821.68","3,831.61","3,835.86","3,809.71","","0.22%"
"06/21/2021","3,813.45","3,797.23","3,816.85","3,785.49","","0.28%"
"06/18/2021","3,802.95","3,809.99","3,813.50","3,775.82","","-0.42%"
"06/17/2021","3,819.07","3,807.32","3,832.61","3,801.98","","-0.28%"
"06/16/2021","3,829.67","3,821.45","3,836.91","3,803.54","","0.19%"
"06/15/2021","3,822.40","3,864.36","3,865.20","3,819.64","","-0.98%"
"06/14/2021","3,860.18","3,845.81","3,862.39","3,842.75","","0.49%"
"06/11/2021","3,841.53","3,838.98","3,849.32","3,828.62","","0.36%"
"06/10/2021","3,827.71","3,835.21","3,847.89","3,822.01","","-0.41%"
